term;frequency;gender
OLIVER;very_common;M
AMELIA;very_common;F
GEORGE;very_common;M
OLIVIA;very_common;F
HARRY;very_common;M
ISLA;very_common;F
NOAH;very_common;M
AVA;very_common;F
JACK;very_common;M
EMILY;very_common;F
CHARLIE;common;M
SOPHIE;common;F
JACOB;common;M
MIA;common;F
THOMAS;common;M
ISABELLA;common;F
OSCAR;common;M
GRACE;common;F
JAMES;common;M
LILY;common;F
WILLIAM;common;M
ELLA;common;F
HENRY;common;M
CHARLOTTE;common;F
ALEXANDER;common;M
JESSICA;common;F
DANIEL;common;M
DAISY;common;F
EDWARD;common;M
POPPY;common;F
